rank,channel,bluebrain_compartment,other_model,other_compartment,residual_rmse,residual_mae,similarity
1,PC KDR,soma,Bezaire,soma,0,0,similar
2,PC A-type K,soma,Bezaire,soma,0,0,similar
3,PC Na,soma,Canakci,soma,0.000394191597740105,0.000165473726652017,similar
4,PVBC A-type K,soma,Bezaire,soma,0.00149910987414977,0.00109094144761841,similar
5,PC Na,soma,Bezaire,soma,0.00221053895722901,0.00112863633448578,similar
6,PVBC Na,soma,Bezaire,soma,0.00221053895722901,0.00112863633448578,similar
7,PVBC Na,soma,Canakci,soma,0.00316030717039882,0.00201141100771219,similar
8,PC KDR,soma,Canakci,soma,0.0033363886809689,0.00230581849747744,similar
9,PVBC KDR,soma,Bezaire,soma,0.244092860840832,0.138702767633857,different
10,PVBC KDR,soma,Canakci,soma,0.368885453019864,0.269062182399914,different
