master_rank,channel,bluebrain_compartment,other_model,other_compartment,residual_rmse,residual_mae,similarity,figure_number,run_tag,run_label,same_compartment
1,PC A-type K,soma,Bezaire,soma,0.00029678701668848,0.000203399450765272,similar,18,pc_soma__pv_soma,PC soma | PVBC soma,1
2,PC Na,soma,Canakci,soma,0.000396347932266708,0.000167289050222703,similar,18,pc_soma__pv_soma,PC soma | PVBC soma,1
3,PC Na,apic,Canakci,apic,0.000396347932266708,0.000167289050222703,similar,19,pc_apic,PC apic,1
4,PC Na,dend,Canakci,dend,0.000396347932266708,0.000167289050222703,similar,20,pc_dend,PC dend,1
5,PVBC A-type K,soma,Bezaire,soma,0.00156566507913536,0.00114809416051534,similar,18,pc_soma__pv_soma,PC soma | PVBC soma,1
6,PVBC Na,soma,Bezaire,soma,0.00168473332710718,0.000829615714886328,similar,18,pc_soma__pv_soma,PC soma | PVBC soma,1
7,PC Na,soma,Bezaire,soma,0.00181158382240712,0.000898844718109603,similar,18,pc_soma__pv_soma,PC soma | PVBC soma,1
8,PC Na,apic,Bezaire,apic,0.00181158382240712,0.000898844718109603,similar,19,pc_apic,PC apic,1
9,PC Na,dend,Bezaire,dend,0.00181158382240712,0.000898844718109603,similar,20,pc_dend,PC dend,1
10,PVBC A-type K,dend,Bezaire,dend,0.00222011768842376,0.00156212852727634,similar,21,pv_dend,PVBC dend,1
11,PVBC Na,soma,Canakci,soma,0.00274989146389972,0.00173707988902361,similar,18,pc_soma__pv_soma,PC soma | PVBC soma,1
12,PC KDR,soma,Canakci,soma,0.00335181247328488,0.0023192494761022,similar,18,pc_soma__pv_soma,PC soma | PVBC soma,1
13,PC KDR,apic,Canakci,apic,0.00335181247328488,0.0023192494761022,similar,19,pc_apic,PC apic,1
14,PC KDR,dend,Canakci,dend,0.00335181247328488,0.0023192494761022,similar,20,pc_dend,PC dend,1
15,PC KDR,soma,Bezaire,soma,0.0447620870499582,0.0263073133481594,similar,18,pc_soma__pv_soma,PC soma | PVBC soma,1
16,PC KDR,apic,Bezaire,apic,0.0447620870499582,0.0263073133481594,similar,19,pc_apic,PC apic,1
17,PC KDR,dend,Bezaire,dend,0.0447620870499582,0.0263073133481594,similar,20,pc_dend,PC dend,1
18,PVBC KDR,soma,Bezaire,soma,0.289457369807204,0.172404329848717,different,18,pc_soma__pv_soma,PC soma | PVBC soma,1
19,PVBC KDR,dend,Bezaire,dend,0.289457369807204,0.172404329848717,different,21,pv_dend,PVBC dend,1
20,PVBC KDR,soma,Canakci,soma,0.403428279392832,0.302668689866082,different,18,pc_soma__pv_soma,PC soma | PVBC soma,1
21,PVBC KDR,dend,Canakci,dend,0.403428279392832,0.302668689866082,different,21,pv_dend,PVBC dend,1
