rank,channel,bluebrain_compartment,other_model,other_compartment,residual_rmse,residual_mae,similarity
1,PC KDR,soma,Bezaire,soma,0,0,similar
2,PC A-type K,soma,Bezaire,soma,0,0,similar
3,PVBC BK-like K,dend,Bezaire,dend,1.60865157433947e-11,1.13749226526663e-12,similar
4,PVBC Ca-dependent K,dend,Bezaire,dend,6.99074257956197e-11,6.99074257956197e-11,similar
5,PC Na,soma,Canakci,soma,0.000395685696328326,0.000166730489124566,similar
6,PVBC A-type K,dend,Bezaire,dend,0.00215013627693509,0.00149433219661749,similar
7,PC Na,soma,Bezaire,soma,0.00221891753037434,0.00113601383782115,similar
8,PC KDR,soma,Canakci,soma,0.00334710251990296,0.0023143813814396,similar
9,PVBC N-type Ca,dend,Bezaire,dend,0.00417552261487826,0.00222775417436504,similar
10,PVBC KDR,dend,Bezaire,dend,0.245017675391333,0.139727238886849,different
11,PVBC L-type Ca,dend,Bezaire,dend,0.259606167984355,0.151442501053463,different
12,PVBC KDR,dend,Canakci,dend,0.370279163170688,0.270975113252551,different
