rank,channel,bluebrain_compartment,other_model,other_compartment,matched_tau_gates,p_open_rmse,p_open_mae,tau_rmse_norm,tau_mae_norm,residual_rmse,residual_mae,similarity
1,PC Na,soma,Canakci,soma,"m,h",0.000396347932266708,0.000167289050222703,3.73942960692087e-17,1.4351920771979e-17,0.000198173966133373,8.36445251113585e-05,similar
2,PC A-type K,soma,Bezaire,soma,"n,l",0.00029678701668848,0.000203399450765272,0.0393936614934283,0.0313295912931207,0.0198452242550584,0.015766495371943,similar
3,PC KDR,soma,Canakci,soma,"n",0.00335181247328488,0.0023192494761022,0.0468503254223794,0.0373822413083073,0.0251010689478322,0.0198507453922048,similar
4,PC KDR,soma,Bezaire,soma,"n",0.0447620870499582,0.0263073133481594,0.0610532635869397,0.0489960544763587,0.0529076753184489,0.037651683912259,similar
5,PC Na,soma,Traub PC,soma,"m,h",0.0185292379963478,0.00844433894513646,0.124533527348416,0.0865832015429306,0.0715313826723818,0.0475137702440335,moderately different
6,PVBC Na,soma,Traub INT,soma,"m,h",0.0185292379963478,0.00844433894513646,0.124533527348416,0.0865832015429306,0.0715313826723818,0.0475137702440335,moderately different
7,PVBC Na,soma,Bezaire,soma,"m,h",0.00168473332710718,0.000829615714886328,0.167006522194982,0.101235964073191,0.0843456277610448,0.0510327898940387,moderately different
8,PC Na,soma,Bezaire,soma,"m,h",0.00181158382240712,0.000898844718109603,0.178235820288297,0.109531759150478,0.090023702055352,0.0552153019342937,moderately different
9,PVBC Na,soma,Canakci,soma,"h",0.00274989146389972,0.00173707988902361,0.19230391546817,0.086012005604102,0.0975269034660348,0.0438745427465628,moderately different
10,PVBC A-type K,soma,Bezaire,soma,"n,l",0.00156566507913536,0.00114809416051534,0.380573222713529,0.291022143107671,0.191069443896332,0.146085118634093,different
11,PC A-type K,soma,Traub PC,soma,"gate1,gate2",0.0109735908647706,0.00561623706488284,0.410101466622372,0.310873324175006,0.210537528743572,0.158244780619944,different
12,PVBC A-type K,soma,Traub INT,soma,"gate1,gate2",0.0109735908647706,0.00561623706488284,0.410101466622372,0.310873324175006,0.210537528743572,0.158244780619944,different
13,PVBC KDR,soma,Bezaire,soma,"n",0.289457369807204,0.172404329848717,0.484373352462877,0.352241926464805,0.38691536113504,0.262323128156761,different
14,PC KDR,soma,Traub PC,soma,"n",0.369751909593871,0.245434243075899,0.460312716844654,0.328457301860258,0.415032313219262,0.286945772468079,different
15,PVBC KDR,soma,Traub INT,soma,"n",0.369751909593871,0.245434243075899,0.460312716844654,0.328457301860258,0.415032313219262,0.286945772468079,different
16,PVBC KDR,soma,Canakci,soma,"n",0.403428279392832,0.302668689866082,0.488771482507099,0.365002827436224,0.446099880949966,0.333835758651153,different
